sentence,trigger_preposition,candidate_1,candidate_2,true_head
"Following the diminish, the report covered the group linked to the ranks.",of,diminish,ranks,noun1
"After the renewing, the team reviewed the country concerning the embargo.",against,renewing,embargo,verb
The opening process impacted the way regarding the boost.,for,opening,way,noun1
"Following the conducting, the report covered the lot linked to the business.",from,conducting,business,verb
The million was examined in relation to the revenue during the earned.,on,earned,million,verb
Users analyzed the segundo after the purchased involving the building.,in,purchased,building,noun1
Analysis of the directors revealed the duties after the carry.,as,carry,duties,noun1
"Following the respect, the report covered the senate linked to the judgment.",of,respect,judgment,noun1
The manager discussed the september with the plan about the announced approach.,in,announced,plan,verb
The manager discussed the figure with the rise about the invested approach.,from,invested,rise,noun1
Analysis of the ability revealed the nothing after the concedes.,in,concedes,nothing,verb
The manager discussed the bankers with the leads about the funnel approach.,to,funnel,leads,verb
"After the issue, the team reviewed the debentures concerning the dollars.",of,issue,dollars,noun1
The stake contributed to the pacific through the bought mechanism.,in,bought,stake,noun1
Users analyzed the reimbursements after the curbing involving the increases.,in,curbing,increases,noun1
The manager discussed the exchanges with the trades about the processes approach.,for,processes,trades,verb
The manager discussed the oppression with the years about the alleging approach.,of,alleging,years,noun1
The him contributed to the sale through the offered mechanism.,at,offered,him,verb
The manager discussed the days with the proceedings about the begin approach.,within,begin,proceedings,verb
"Following the hearing, the report covered the dispute linked to the testimony.",in,hearing,testimony,noun1
The manager discussed the packages with the interest about the shown approach.,in,shown,interest,verb
"After the savored, the team reviewed the appearance concerning the humor.",of,savored,humor,noun1
The lack was examined in relation to the interest during the including.,of,including,lack,noun1
The contract contributed to the warner through the violates mechanism.,with,violates,contract,noun1
The manager discussed the reporters with the depositions about the give approach.,before,give,depositions,verb
Analysis of the unit revealed the officer after the named.,of,named,officer,noun1
"After the evolve, the team reviewed the revealing concerning the priorities.",by,evolve,priorities,verb
The manager discussed the institution with the bank about the consolidate approach.,into,consolidate,bank,verb
Users analyzed the japan after the shipping involving the cars.,to,shipping,cars,verb
The charges contributed to the quarter through the take mechanism.,in,take,charges,verb
"After the including, the team reviewed the city concerning the huntsman.",of,including,huntsman,noun1
"Following the offering, the report covered the arrest linked to the rewards.",for,offering,rewards,noun1
The manager discussed the project with the step about the represented approach.,in,represented,step,noun1
Users analyzed the corp. after the acquire involving the share.,of,acquire,share,noun1
Users analyzed the dollars after the acquire involving the stake.,for,acquire,stake,verb
"After the approves, the team reviewed the ceiling concerning the increase.",in,approves,increase,noun1
Analysis of the issues revealed the million after the replaced.,with,replaced,million,verb
"Following the named, the report covered the conglomerate linked to the director.",of,named,director,noun1
The calls was examined in relation to the remarks during the sparked.,with,sparked,calls,verb
The manager discussed the kerkorian with the hotel-casino about the bought approach.,from,bought,hotel-casino,verb
Analysis of the dollars revealed the millions after the cost.,of,cost,millions,noun1
"After the acquire, the team reviewed the billion concerning the inc..",for,acquire,inc.,verb
Analysis of the progress revealed the satisfaction after the expressed.,with,expressed,satisfaction,noun1
The mind contributed to the politics through the opened mechanism.,to,opened,mind,verb
The take process impacted the line regarding the statement.,in,take,line,verb
Users analyzed the value after the write involving the junk.,to,write,junk,verb
"After the including, the team reviewed the thursday concerning the index.",on,including,index,noun1
"Following the reduces, the report covered the billion linked to the baseline.",by,reduces,baseline,verb
Analysis of the goods revealed the promise after the holding.,of,holding,promise,noun1
The manager discussed the night with the him about the hear approach.,at,hear,him,verb
The manager discussed the stores with the presence about the raises approach.,to,raises,presence,verb
Users analyzed the unpleasantness after the assigned involving the blame.,for,assigned,blame,noun1
Users analyzed the business after the fill involving the gap.,in,fill,gap,noun1
"After the lacks, the team reviewed the case concerning the jurisdiction.",in,lacks,jurisdiction,verb
"Following the spend, the report covered the clients linked to the time.",with,spend,time,noun1
The attracting process impacted the candidates regarding the office.,for,attracting,candidates,noun1
Users analyzed the opportunity after the providing involving the workers.,with,providing,workers,verb
The form contributed to the cat through the represented mechanism.,of,represented,form,noun1
The price was examined in relation to the range during the give.,in,give,price,noun1
Users analyzed the goods after the fill involving the shops.,with,fill,shops,verb
Analysis of the bases revealed the million after the allowed.,for,allowed,million,noun1
The dividend was examined in relation to the shares during the cut.,on,cut,dividend,noun1
"Following the pull, the report covered the tape linked to the piece.",of,pull,piece,noun1
The average contributed to the average through the exported mechanism.,at,exported,average,verb
The reunite process impacted the residents regarding the pets.,with,reunite,residents,verb
The finance process impacted the repayment regarding the borrowing.,of,finance,repayment,noun1
The issue was examined in relation to the projections during the takes.,with,takes,issue,noun1
Analysis of the government revealed the role after the provide.,for,provide,role,noun1
Analysis of the commander revealed the message after the received.,from,received,message,verb
Users analyzed the changes after the measure involving the magnitude.,of,measure,magnitude,noun1
"After the resolve, the team reviewed the stocks concerning the imbalances.",in,resolve,imbalances,noun1
The securities was examined in relation to the federal-mogul during the acquire.,of,acquire,securities,noun1
Users analyzed the cooperatives after the restricting involving the freedom.,of,restricting,freedom,noun1
The sight was examined in relation to the that during the lose.,of,lose,sight,noun1
Users analyzed the window after the give involving the boost.,through,give,boost,noun1
The gains contributed to the million through the includes mechanism.,of,includes,gains,noun1
The share contributed to the maker through the waive mechanism.,in,waive,share,noun1
Users analyzed the machines after the uses involving the chip.,unlike,uses,chip,verb
Analysis of the hud revealed the discrediting after the view.,of,view,discrediting,noun1
"Following the acquiring, the report covered the transactions linked to the columbia.",in,acquiring,columbia,verb
The proposal was examined in relation to the amendment during the offer.,as,offer,proposal,verb
The spirit was examined in relation to the people during the see.,of,see,spirit,noun1
The manager discussed the problem with the him about the leave approach.,with,leave,him,verb
The reached process impacted the conclusion regarding the unraveling.,about,reached,conclusion,noun1
The manager discussed the summit with the plans about the disrupt approach.,for,disrupt,plans,noun1
The manager discussed the index with the decline about the reported approach.,in,reported,decline,noun1
The delivery was examined in relation to the contract during the take.,of,take,delivery,noun1
The total process impacted the billion regarding the decades.,over,total,billion,verb
Analysis of the commodore revealed the loss after the mark.,for,mark,loss,verb
"After the created, the team reviewed the structures concerning the changes.",in,created,changes,noun1
The diversity contributed to the operations through the illustrate mechanism.,of,illustrate,diversity,noun1
Analysis of the equitec revealed the resources after the drain.,of,drain,resources,noun1
Users analyzed the companies after the pursue involving the inquiries.,from,pursue,inquiries,noun1
The posted process impacted the revenue regarding the million.,of,posted,revenue,noun1
"Following the relocate, the report covered the county linked to the facility.",to,relocate,facility,verb
The manager discussed the development with the anger about the incorporated approach.,into,incorporated,anger,verb
The loans contributed to the nations through the reduced mechanism.,to,reduced,loans,noun1
The manager discussed the asia with the plants about the build approach.,in,build,plants,verb
"After the reported, the team reviewed the study concerning the results.",of,reported,results,noun1
Users analyzed the slabs after the break involving the some.,of,break,some,noun1
